title,isbn,writer,publisher,Pub_date,re_price,sa_price,genre
THE FOOD LAB 더 푸드 랩 : 더 나은 요리를 위한 주방 과학의 모든것!,9788931455625.0,"J. 켄지 로페즈 알트 지음, 임현수 옮김, 송윤형(챨리) 감수",영진.com(영진닷컴),20170628.0,"55,000","49,500",요리/살림
네이티브 영어표현력 사전,9788927701057.0,이창수 지음,다락원,20181025.0,"25,000","22,500",외국어
바깥은 여름,9788954646079.0,김애란 지음,문학동네,20170628.0,"14,500","13,050",소설/시/희곡
이은경쌤의 초등어휘일력 365 (스프링),9791192625300.0,이은경 지음,포레스트북스,20221028.0,"18,800","16,920",좋은부모
보도 섀퍼의 돈,9788919205013.0,"보도 섀퍼 지음, 이병서 옮김",에포케,20110517.0,"16,700","15,030",경제경영
매일 조금씩 쓰고 버린다,9791187033462.0,"후데코 지음, 홍성민 옮김",좋은생각,20201123.0,"5,500","4,950",자기계발
클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,8809264181515.0,"피오나 와트 지음, 올가 데미도바 그림",어스본코리아,20201105.0,"19,800","15,840",유아
키위엔 영어회화 하루 5분의 기적,9791198002907.0,박강준 지음,키위엔,20221205.0,"19,500","17,550",외국어
영어 회화 핵심패턴 233,9791140702503.0,백선엽 지음,길벗이지톡,20230115.0,"18,000","16,200",외국어
마법의 연금 굴리기,9788998342784.0,김성일 지음,에이지21,20231018.0,"18,000","16,200",경제경영
주식투자 무작정 따라하기,9791140702343.0,윤재수 지음,길벗,20230130.0,"23,000","20,700",경제경영
가난한 아이들은 어떻게 어른이 되는가,9791192836355.0,강지나 지음,돌베개,20231106.0,"17,500","15,750",사회과학
당신의 세계는 아직도 바다와 빗소리와 작약을 취급하는지,9788937409288.0,김경미 지음,민음사,20230127.0,"13,000","11,700",소설/시/희곡
오십의 기술,9791168271043.0,이호선 지음,카시오페아,20230403.0,"18,000","16,200",자기계발
명상록 (그리스어 원전 완역본),9791187142379.0,"마르쿠스 아우렐리우스 지음, 박문재 옮김",현대지성,20180402.0,"12,000","10,800",인문학
날개 환상통,9788932035307.0,김혜순 지음,문학과지성사,20190331.0,"12,000","10,800",소설/시/희곡
밥을 지어요,9788934980599.0,김혜경 지음,김영사,20180209.0,"17,800","16,020",요리/살림
한강 : 회복하는 인간 Convalescence,9788994006826.0,"한강 지음, 전승희 옮김, K. E. 더핀 감수",도서출판 아시아,20130615.0,"9,500","8,550",소설/시/희곡
지구 끝의 온실,9791191824001.0,김초엽 지음,자이언트북스,20210818.0,"15,000","13,500",소설/시/희곡
ETS 토익 단기 공략 650+ (LC + RC),9788917235937.0,ETS 지음,(주)YBM(와이비엠),20200723.0,"18,000","16,200",외국어
아버지의 해방일지,9788936438838.0,정지아 지음,창비,20220902.0,"15,000","13,500",소설/시/희곡
일론 머스크,9791171170418.0,"월터 아이작슨 지음, 안진환 옮김",21세기북스,20230913.0,"38,000","34,200",경제경영
해가 지는 곳으로,9788937473166.0,최진영 지음,민음사,20170630.0,"14,000","12,600",소설/시/희곡
월든,9788956605418.0,"헨리 데이비드 소로우 지음, 강승영 옮김",은행나무,20110822.0,"13,000","11,700",에세이
사업의 철학,9788998075200.0,"마이클 E. 거버 지음, 이제용 옮김",라이팅하우스,20150901.0,"16,000","14,400",경제경영
자유로부터의 도피,9791160804751.0,"에리히 프롬 지음, 김석희 옮김",휴머니스트,20200907.0,"16,000","14,400",인문학
